event_id,match_nr,fighter1_url,fighter1_name,fighter2_url,fighter2_name,fighter1_result,fighter2_result,win_method,win_details,referee,round,time
956,10,/fighter/Bibiano-Fernandes-11465,Bibiano Fernandes,/fighter/Reece-McLaren-75160,Reece McLaren,win,loss,Decision,Split,Olivier Coste,5,05:00
956,9,/fighter/Mark-Striegl-50217,Mark Striegl,/fighter/Sotir-Kichukov-43556,Sotir Kichukov,win,loss,Decision,Unanimous,Yuji Shimada,3,05:00
956,8,/fighter/Toni-Tauru-79446,Toni Tauru,/fighter/Geje-Eustaquio-76813,Geje Eustaquio,win,loss,Submission,Rear-Naked Choke,Olivier Coste,1,03:55
956,7,/fighter/Honorio-Banario-62423,Honorio Banario,/fighter/Rajinder-Singh-Meena-93055,Rajinder Singh Meena,win,loss,Submission,Armbar,Yuji Shimada,1,04:04
956,6,/fighter/Leandro-Ataides-38826,Leandro Ataides,/fighter/Mohamed-Ali-80993,Mohamed Ali,win,loss,KO,Flying Knee,Olivier Coste,2,04:54
956,5,/fighter/Edward-Kelly-130299,Edward Kelly,/fighter/Sunoto-Peringkat-192883,Sunoto Peringkat,win,loss,TKO,Punches,Yuji Shimada,3,02:14
956,4,/fighter/Danny-Kingad-191627,Danny Kingad,/fighter/Eugene-Toquero-99159,Eugene Toquero,win,loss,Submission,Armbar,Olivier Coste,1,04:26
956,3,/fighter/Jenny-Huang-195633,Jenny Huang,/fighter/April-Osenio-191613,April Osenio,win,loss,Submission,Gogoplata,Olivier Coste,2,04:28
956,2,/fighter/Sim-Bunsrun-137351,Sim Bunsrun,/fighter/Pengshuai-Liu-232985,Pengshuai Liu,win,loss,Decision,Unanimous,Yuji Shimada,3,05:00
956,1,/fighter/Xie-Bin-231979,Xie  Bin,/fighter/Mario-Satya-Wirawan-92699,Mario Satya Wirawan,win,loss,Decision,Unanimous,Yuji Shimada,3,05:00
957,9,/fighter/Eduard-Folayang-40882,Eduard Folayang,/fighter/Shinya-Aoki-10774,Shinya Aoki,win,loss, TKO,Knees and Punches, Yuji Shimada,3, 0:41
957,8,/fighter/Marat-Gafurov-74954,Marat Gafurov,/fighter/Narantungalag-Jadambaa-11375,Narantungalag Jadambaa,win,loss,Technical Submission,Rear-Naked Choke,Olivier Coste,1,04:51
957,7,/fighter/Amir-Khan-124985,Amir Khan,/fighter/Vaughn-Donayre-76924,Vaughn Donayre,win,loss,Submission,Rear-Naked Choke,Yuji Shimada,3,02:22
957,6,/fighter/Michelle-Nicolini-83784,Michelle Nicolini,/fighter/Mona-Samir-207851,Mona Samir,win,loss,Submission,Rear-Naked Choke,Olivier Coste,1,02:16
957,5,/fighter/Roger-Huerta-10089,Roger Huerta,/fighter/Adrian-Pang-8427,Adrian Pang,win,loss,Decision,Split,Yuji Shimada,3,05:00
957,4,/fighter/Kotetsu-Boku-1527,Kotetsu Boku,/fighter/Timofey-Nastyukhin-99259,Timofey Nastyukhin,win,loss,TKO,Doctor Stoppage,Yuji Shimada,1,05:00
957,3,/fighter/Tiffany-Teo-218563,Tiffany Teo,/fighter/Walaa-Abbas-Mohamed-Kamaly-118193,Walaa Abbas Mohamed Kamaly,win,loss,Submission,Rear-Naked Choke,Olivier Coste,2,04:15
957,2,/fighter/Ahmed-Mujtaba-132987,Ahmed Mujtaba,/fighter/Benedict-Ang-152551,Benedict Ang,win,loss,Decision,Unanimous,Olivier Coste,3,05:00
