id,fighter_name,nickname,birth_date,age,country,height_cm,weight_kg,association,weight_class,wins,losses
/fighter/Shane-Burgos-76052,Shane Burgos,Hurricane,19/03/1991,30,United States,180.34,66.22,Team Tiger Schulmann,Featherweight,13,13
/fighter/Paulo-Costa-147165,Paulo Costa,Borrachinha,21/04/1991,30,Brazil,182.88,83.91,Team Borracha,Middleweight,13,13
/fighter/Roman-Salazar-24790,Roman Salazar,El Gallito,21/02/1988,33,United States,170.18,61.23,Fight Ready,Bantamweight,14,14
/fighter/Dmitri-Stepanov-165,Dmitri Stepanov,,,,Belarus,190.5,99.79,,Heavyweight,0,0
/fighter/Scott-Writz-206759,Scott Writz,,16/11/1992,28,United States,182.88,83.91,,Middleweight,2,2
/fighter/Angela-Hill-148517,Angela Hill,Overkill,12/01/1985,36,United States,160.02,52.16,Alliance MMA,Strawweight,13,13
/fighter/Joana-Filipa-Magalhaes-267591,Joana Filipa Magalhaes,Shooter,09/11/1995,25,Portugal,162.56,56.7,MMA Sori,Flyweight,1,1
/fighter/Rey-Trujillo-48431,Rey Trujillo,The Chosen Warrior,11/01/1982,39,United States,172.72,65.77,Tru Bloodline MMA,Featherweight,24,24
/fighter/Darryal-Griffin-209263,Darryal Griffin,D.J.,,,United States,180.34,74.39,Catalyst Fight House,Welterweight,0,0
/fighter/Zack-Surdyka-33293,Zack Surdyka,,,,United States,0.0,0.0,Arizona Combat Sports,,7,7
/fighter/Kian-Pham-23557,Kian Pham,Karnage,12/12/1979,41,Australia,160.02,61.23,Lions Den Sydney,Bantamweight,6,6
/fighter/Carlos-Prates-95593,Carlos Prates,Carlao,17/08/1993,27,Brazil,182.88,70.31,Phuket Top Team,Lightweight,10,10
/fighter/Joe-Cronin-81014,Joe Cronin,,,,United States,175.26,88.45,Cape Cod Fighting Alliance,Light Heavyweight,2,2
/fighter/Jessamyn-Duke-71307,Jessamyn Duke,The Gun,24/06/1986,35,United States,180.34,61.69,UWF USA,Bantamweight,3,3
/fighter/Juan-Wen-Jie-94049,Juan Wen Jie,,,,Singapore,185.42,71.67,Impact MMA Singapore,Welterweight,3,3
/fighter/Travis-Davis-74922,Travis Davis,Bam Bam,16/06/1987,34,United States,182.88,83.91,Ronin Training Center,Middleweight,10,10
