id,match_nr,fighter1_url,fighter2_url,results,win_method,win_details,referee,round,time
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,7,/fighter/Matt-Brown-14310,/fighter/Dhiego-Lima-59607,win,KO,Punch,Herb Dean,2,03:02
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,6,/fighter/Nicolae-Negumereanu-237147,/fighter/Aleksa-Camur-228789,win,Decision,Split,Mike Beltran,3,05:00
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,5,/fighter/Virna-Jandiroba-137557,/fighter/Kanako-Murata-219081,win,TKO,Arm Injury,Chris Tognoni,2,05:00
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,4,/fighter/Kalinn-Williams-198129,/fighter/Matthew-Semelsberger-251541,win,Decision,Unanimous,Herb Dean,3,05:00
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,3,/fighter/Josh-Parisian-181225,/fighter/Roque-Martinez-22115,win,Decision,Split,Mark Smith,3,05:00
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,2,/fighter/Ricky-Glenn-20171,/fighter/Joaquim-Silva-146291,win,KO,Punches,Mike Beltran,1,00:37
/events/UFC-on-ESPN-25-Korean-Zombie-vs-Ige-88795,1,/fighter/Casey-ONeill-175007,/fighter/Lara-Procopio-164341,win,Technical Submission,Rear-Naked Choke,Chris Tognoni,3,02:54
/events/UFC-263-Adesanya-vs-Vettori-2-88760,14,/fighter/Israel-Adesanya-56374,/fighter/Marvin-Vettori-80421,win," Decision",Unanimous," Marc Goddard",5," 5:00"
/events/UFC-263-Adesanya-vs-Vettori-2-88760,13,/fighter/Brandon-Moreno-80173,/fighter/Deiveson-Figueiredo-110485,win,Submission,Rear-Naked Choke,Mike Beltran,3,02:26
/events/UFC-263-Adesanya-vs-Vettori-2-88760,12,/fighter/Leon-Edwards-62665,/fighter/Nate-Diaz-11451,win,Decision,Unanimous,Herb Dean,5,05:00
/events/UFC-263-Adesanya-vs-Vettori-2-88760,11,/fighter/Belal-Muhammad-108315,/fighter/Demian-Maia-14637,win,Decision,Unanimous,Jason Herzog,3,05:00
/events/UFC-263-Adesanya-vs-Vettori-2-88760,10,/fighter/Paul-Craig-110167,/fighter/Jamahal-Hill-280417,win,TKO,Elbows and Punches,Al Guinee,1,01:59
